title                                             , description                                                                                                         , expected category , expected priority, expected resolver_team, reason                                                                                                                                , actual category           , actual priority, actual resolver_team, actual same as expected
WiFi not working                                  , I updated my system and the internet stopped working when it rebooted                                               , networking        ,                 2, network support       , WiFi stopped working after system update and reboot; user cannot access the internet                                                  , networking support        ,               2, network support     , Yes
forgotten password                                , I need you to reset my password                                                                                     , user accounts     ,                 1, system support        , User cannot access account due to forgotten password; requests password reset                                                         , user accounts             ,               1, system support      , Yes
install software problem                          , I need to install chrome                                                                                            , installation      ,                 4, desktop support       , User requests installation of Chrome on their system                                                                                  , package management support,               3, software addition   , 
log in issue                                      , I can not log in to the system help                                                                                 , user accounts     ,                 1, system support        , User cannot log in to the system; likely account or authentication issue                                                              , user accounts             ,               1, system support      , Yes
internet                                          , my system is not on the internet help                                                                               , networking        ,                 2, network support       , System has lost internet connectivity; needs network troubleshooting                                                                  , networking support        ,               2, network support     , Yes
PC wont turn on                                   , when I press the power button nothing comes on                                                                      , hardware          ,                 1, hardware support      , PC will not power on no response from power button; system unusable                                                                   , hardware support          ,               1, hardware support    , Yes
my document say I don’t have permission to open it, my document say I don’t have permission to open it                                                                  , user accounts     ,                 3, desktop support       , User cannot open a document due to permission error; needs file permission and access rights checked                                  , user accounts             ,               2, system support      , 
the web browser is not working                    , I cant search the internet                                                                                          , networking        ,                 2, network support       , Browser cannot reach the internet; user cannot perform web searches                                                                   , networking support        ,               4, general support     , 
I need to set up a new laptop                     , I have just bought a new laptop and need to get it set up                                                           , installation      ,                 4, installation support  , New laptop initial setup request; requires OS configuration and account provisioning                                                  , installation              ,               1, installation        , Yes
Wi-Fi works for a few minutes                     , every few minutes I need to reconnect to the wifi                                                                   , networking        ,                 2, network support       , Intermittent Wi Fi disconnects every few minutes requiring frequent reconnects                                                        , networking support        ,               2, network support     , Yes
slow after update                                 , my computer is very slow after updating over night                                                                  , system performance,                 3, desktop support       , Computer very slow after system update needs troubleshooting; possible problematic update or resource heavy background tasks          , system performance support,               2, system support      , 
APT install error                                 , I am trying to install a system package with APT and I am getting an error                                          , package management,                 4, system support        , APT install error during package installation; package management failure                                                             , package management support,               2, software addition   , 
USB stick is not working                          , I am plugging my usb drive in to my laptop I cant open it                                                           , hardware          ,                 4, desktop support       , USB stick not accessible when plugged into laptop; user cannot open the drive                                                         , hardware support          ,               2, hardware support    , 
screen is wrong size                              , my screen is the wrong size                                                                                         , system settings   ,                 4, desktop support       , display resolution or scaling issue causing incorrect screen size                                                                     , system settings           ,               2, general support     , 
my resolution is set wrong for my display         , my screen is the wrong resolution for my display                                                                    , system settings   ,                 3, desktop support       , Display resolution is incorrect for the monitor; needs display settings adjustment                                                    , system settings           ,               2, general support     , 
system not booting                                , my system is not booting and is stuck on a black screen                                                             , hardware          ,                 1, hardware support      , System fails to boot and is stuck on a black screen; machine unusable                                                                 , installation              ,               1, installation        , 
keyboard not working                              , my keyboard is not working on my desktop                                                                            , hardware          ,                 1, hardware support      , Desktop keyboard not working; requires hardware troubleshooting and possible replacement                                              , hardware support          ,               1, hardware support    , Yes
user password                                     , I tried to update my user password but the operation is not permitted                                               , user accounts     ,                 3, system support        , User cannot update account password; operation denied likely due to insufficient permissions or password policy                       , user accounts             ,               2, system support      , Yes
running system update                             , I tried to update system packages but it gave multiple errors                                                       , package management,                 3, system support        , Package updates failed with multiple errors; require package manager error output and logs to diagnose                                , package management support,               2, system support      , Yes
network icon not there                            , the network icon is missing from the bottom right I cant connect to wifi help                                       , networking        ,                 2, network support       , Network icon missing and user cannot connect to WiFi                                                                                  , networking support        ,               2, network support     , Yes
shared folder missing                             , I can not access the shared network folder                                                                          , networking        ,                 4, network support       , User cannot access network shared folder; likely share connectivity or permission issue                                               , networking support        ,               2, network support     , Yes
laptop is very hot under normal use               , my laptop is very hot and the fans are very loud when I am just browsing the web                                    , hardware          ,                 3, hardware support      , Laptop overheating and fans very loud during light browsing; likely cooling hardware issue or clogged vents                           , hardware support          ,               2, hardware support    , Yes
disk space                                        , when I try to download a file I am getting disk space warning                                                       , system performance,                 3, desktop support       , Insufficient disk space warning when attempting to download files; user cannot save downloads                                         , hardware support          ,               2, hardware support    , 
no internet                                       , I am connected to wifi but not the internet                                                                         , networking        ,                 1, network support       , Connected to WiFi but no internet connectivity; likely router DHCP DNS or upstream network issue                                      , networking support        ,               2, network support     , Yes
ethernet not working                              , I am connected to wifi and thats working fine but I get better speed from the wired connection and thats not working, networking        ,                 3, network support       , Wired Ethernet not working while WiFi works; user requests troubleshooting for wired connection                                       , networking support        ,               2, network support     , Yes
cannot connect to hotspot                         , I am struggling to connect to my phones hotspot from my laptop                                                      , networking        ,                 2, network support       , Laptop cannot connect to phone hotspot; requires network troubleshooting and connection configuration                                 , networking support        ,               2, network support     , Yes
password rejected                                 , I am trying to login to my laptop but is says incorrect password but its the same password I always use             , user accounts     ,                 1, desktop support       , User unable to log into laptop because password is rejected despite using usual password                                              , user accounts             ,               1, system support      , 
folder not working                                , I am trying to make a folder on my desktop but its saying permission not allowed                                    , user accounts     ,                 3, desktop support       , Permission denied when creating desktop folder; likely file permission or ownership issue                                             , user accounts             ,               2, system support      , 
error when updating                               , when I press the update button I get an error message that there is a broken dependency                             , package management,                 3, system support        , Update fails due to broken package dependency preventing installation                                                                 , package management support,               2, software addition   , 
laptop battery                                    , the battery is running out very fast                                                                                , hardware          ,                 3, hardware support      , Battery draining rapidly likely due to degraded battery or power management issue; needs hardware diagnostics and possible replacement, hardware support          ,               2, hardware support    , Yes
